transaction_id,customer_id,transaction_amount,transaction_date
1,374,350.01,2023-07-02
2,229,362.24,2023-10-01
3,12,374.19,2023-06-06
4,271,258.61,2023-03-24
5,155,211.76,2023-07-31
6,62,329.01,2023-07-12
7,190,114.9,2023-12-25
8,62,208.82,2023-12-17
9,498,42.48,2023-10-20
10,258,225.83,2023-09-17
11,76,328.36,2023-12-12
12,67,294.76,2023-10-07
13,194,289.02,2023-02-05
14,55,469.15,2023-05-15
15,448,485.53,2023-10-08
16,126,227.31,2023-05-16
17,212,208.69,2023-02-02
18,175,494.97,2023-04-24
19,417,179.52,2023-04-29
20,125,100.27,2023-06-23
21,392,89.78,2023-03-22
22,463,111.57,2023-12-18
23,332,411.62,2023-11-07
24,458,411.28,2023-05-03
25,345,288.67,2023-05-09
26,179,269.77,2023-12-24
27,138,273.45,2023-09-16
28,58,106.42,2023-07-11
29,103,245.44,2023-02-21
30,104,289.09,2023-05-23
31,453,220.02,2023-06-28
32,323,380.64,2023-04-21
33,348,110.5,2023-12-15
34,122,24.52,2023-03-06
35,118,17.37,2023-11-30
36,208,229.37,2023-05-29
37,111,33.51,2023-05-10
38,169,368.15,2023-01-12
39,75,19.98,2023-01-20
40,275,110.31,2023-12-07
41,105,384.46,2023-11-07
42,246,486.57,2023-12-28
43,53,76.93,2023-01-06
44,424,176.69,2023-07-23
45,343,430.87,2023-08-12
46,454,73.97,2023-04-16
47,443,146.46,2023-03-24
48,358,268.1,2023-07-03
49,199,11.46,2023-10-12
50,438,44.8,2023-01-02
51,267,413.24,2023-07-26
52,27,233.8,2023-02-09
53,6,406.68,2023-05-29
54,8,136.18,2023-12-21
55,82,278.09,2023-05-26
56,75,273.95,2023-04-21
57,7,256.7,2023-06-23
58,209,172.51,2023-08-09
59,190,282.05,2023-08-14
60,64,486.19,2023-06-15
61,305,472.51,2023-06-10
62,206,442.66,2023-06-13
63,467,366.15,2023-10-20
64,121,234.98,2023-09-24
65,79,376.77,2023-05-10
66,321,90.21,2023-02-27
67,54,181.21,2023-11-16
68,143,247.91,2023-06-22
69,366,490.39,2023-03-16
70,221,244.71,2023-05-30
71,87,125.15,2023-03-13
72,292,301.08,2023-11-26
73,82,137.19,2023-07-08
74,103,480.55,2023-04-18
75,25,255.89,2023-10-31
76,361,173.47,2023-06-02
77,297,258.98,2023-11-10
78,103,370.78,2023-09-30
79,383,449.47,2023-01-10
80,408,220.36,2023-10-10
81,378,389.41,2023-01-29
82,285,299.54,2023-10-27
83,147,457.13,2023-12-13
84,16,281.24,2023-09-25
85,44,406.34,2023-12-24
86,312,21.59,2023-12-03
87,293,192.09,2023-04-11
88,274,137.9,2023-07-22
89,487,70.55,2023-08-05
90,51,266.19,2023-09-26
91,163,306.11,2023-07-07
92,177,376.97,2023-03-01
93,209,305.24,2023-05-21
94,353,404.43,2023-12-19
95,114,495.52,2023-03-21
96,392,250.85,2023-08-03
97,443,187.43,2023-11-08
98,298,182.07,2023-04-17
99,354,269.89,2023-02-04
100,266,48.5,2023-12-27
101,484,239.88,2023-02-11
102,71,164.56,2023-02-28
103,380,347.31,2023-01-30
104,146,247.05,2023-02-26
105,6,178.9,2023-09-09
106,208,221.73,2024-01-01
107,15,276.6,2023-07-26
108,263,181.92,2023-10-29
109,300,115.44,2023-08-17
110,207,291.65,2023-03-13
111,64,122.25,2023-04-01
112,57,134.91,2023-05-19
113,444,120.13,2023-09-21
114,142,92.21,2023-01-21
115,198,484.4,2023-02-05
116,173,37.46,2023-11-09
117,109,132.76,2023-03-26
118,246,425.21,2023-09-22
119,85,121.38,2023-04-11
120,303,187.54,2023-06-07
121,66,68.34,2023-05-28
122,126,479.72,2023-05-03
123,182,109.13,2023-09-06
124,41,99.95,2023-04-27
125,250,389.7,2023-04-08
126,480,436.5,2023-12-29
127,20,295.2,2023-09-24
128,118,31.4,2023-06-16
129,438,67.62,2023-02-19
130,270,438.29,2023-07-24
131,137,266.04,2023-11-13
132,186,28.28,2023-10-06
133,152,221.91,2023-12-20
134,273,388.18,2023-07-06
135,297,215.58,2023-07-06
136,421,435.42,2023-02-23
137,123,18.53,2023-12-24
138,81,78.19,2023-06-30
139,466,172.18,2023-05-19
140,2,163.58,2023-12-25
141,127,396.75,2023-05-01
142,217,91.13,2023-01-25
143,74,168.35,2023-05-03
144,43,140.55,2023-08-04
145,220,138.13,2023-08-05
146,484,408.13,2023-06-24
147,368,32.7,2023-06-17
148,246,297.95,2023-08-19
149,409,143.9,2023-03-06
150,47,400.98,2023-04-18
151,399,494.48,2023-04-15
152,110,217.59,2023-10-07
153,195,451.19,2023-06-05
154,164,123.79,2023-10-03
155,142,373.32,2023-06-09
156,374,160.43,2023-05-07
157,273,351.9,2023-10-04
158,317,75.84,2023-12-05
159,236,111.48,2023-07-12
160,208,76.02,2023-04-18
161,360,139.42,2023-08-10
162,111,305.95,2023-01-08
163,312,138.59,2023-12-10
164,24,253.81,2023-10-14
